*,address_raw,city,state,zipcode,unit,property_type,bedrooms,bathrooms,sqft,rent,price_per_sqft,listing_url,K_Q_Overall,B_Q_Overall,Flooring_Q,Paint_Q,Lighting_Q,Window_Q,Appliance_Q,Quality_Score_100,K_Size_1_3,B_Size_1_3,B_Layout,Unit_Size_1_3_Auto,Size_Score_100,C_Balcony_Deck,C_Heating,C_AC,C_Washer_Dryer,C_Parking,C_Dishwasher,C_Microwave,C_Disposal,C_Hardwood,C_Updated_Kitchen,C_Updated_Bath,C_Outdoor_Space,Completeness_Score_100,WalkScore,TransitScore,BikeScore,Location_Score_100,Market_Score,Market_Grade,Luxury_Gap,Rent_per_Score,Opportunity_Flag,Notes,description_text
1,"2087 Delaware St, Berkeley, CA 94709",Berkeley,CA,94709,,apartment,2,1,,"$1,090",,https://sfbay.craigslist.org/eby/apa/d/berkeley-2087-delaware-st-wood-flooring/7922653742.html,2,2,2,2,2,2,2,66.7,,,,,,No,,,No,No,No,,,Yes,Yes,Yes,No,37.5,99,71,95,89.8,39.1,D,62.5,$27.90,Review,,
1,"1730 Stuart Street, Berkeley, CA 94703",Berkeley,CA,94703,,apartment,2,1,,"$2,600",,https://sfbay.craigslist.org/eby/apa/d/berkeley-br-ba-friendly-quiet-location/7922660445.html,2,2,2,1,2,2,2,61.9,,,,,,Yes,,,No,Yes,No,,,Yes,Yes,Yes,Yes,75.0,86,65,97,81.9,51.3,D,25.0,$50.64,Review,,
1,"1724 15th ave, Oakland, CA 94606",Oakland,CA,94606,,apartment,2,1,900,"$2,000",$2.22,https://sfbay.craigslist.org/eby/apa/d/oakland-duplex-for-rent/7919280022.html,1,1,2,1,2,1,1,42.9,,,,2,66.7,,,,No,,No,,,No,No,Yes,,20.0,89,56,86,78.5,32.2,D,80.0,$62.13,Review,,
1,"22160 Center Street, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,977,"$2,655",$2.72,https://sfbay.craigslist.org/eby/apa/d/hayward-fireplace-entry-closet-large/7922184483.html,3,2,2,2,2,2,3,76.2,,,,2,66.7,Yes,,,No,Yes,Yes,,,No,Yes,Yes,Yes,75.0,71,38,42,55.3,58.7,C,25.0,$45.24,Review,,
1,"4801 Shattuck Ave, Oakland, CA 94609",Oakland,CA,94609,,apartment,2,1,899,"$3,220",$3.58,https://sfbay.craigslist.org/eby/apa/d/oakland-ask-us-about-our-move-in/7921569718.html,3,3,3,3,3,3,3,100.0,,,,2,66.7,Yes,,,Yes,Yes,Yes,,,No,Yes,Yes,Yes,87.5,98,68,93,88.0,69.6,C,12.5,$46.28,Review,,
1,"MLK, Berkeley, CA 94708",Berkeley,CA,94708,,apartment,2,1,,"$2,400",,https://sfbay.craigslist.org/eby/apa/d/berkeley-lovely-complex-near-all-north/7918492105.html,2,,2,2,2,2,2,66.7,,,,,,No,,,No,Yes,No,,,Yes,Yes,,No,42.9,39,40,34,38.3,41.1,D,57.1,$58.43,Review,,
1,"4801 Shattuck Ave, Oakland, CA 94609",Oakland,CA,94609,,apartment,2,1,899,"$3,220",$3.58,https://sfbay.craigslist.org/eby/apa/d/oakland-ask-us-about-our-move-in/7921672431.html,3,3,3,3,3,3,3,100.0,,,,2,66.7,Yes,,,Yes,Yes,Yes,,,No,Yes,Yes,Yes,87.5,98,68,93,88.0,69.6,C,12.5,$46.28,Review,,
1,"Rilea Way, Oakland, CA 94605",Oakland,CA,94605,,apartment,2,1,800,"$2,350",$2.94,https://sfbay.craigslist.org/eby/apa/d/oakland-oakland-hills-4plex-laundry/7920135486.html,2,2,1,1,2,2,2,57.1,,,,2,66.7,,,,No,Yes,Yes,,,No,No,No,,33.3,29,27,18,26.2,40.5,D,66.7,$58.06,Review,,
1,"87th Ave, Oakland, CA 94621",Oakland,CA,94621,,apartment,2,1,900,"$2,495",$2.77,https://sfbay.craigslist.org/eby/apa/d/oakland-charming-updated-home-bright/7920139787.html,2,3,2,2,2,2,3,76.2,,,,2,66.7,Yes,,,Yes,Yes,No,,,No,Yes,Yes,Yes,75.0,75,55,59,65.8,58.7,C,25.0,$42.51,Review,,
1,"Prentiss St, Oakland, CA 94601",Oakland,CA,94601,,apartment,2,1,800,"$2,395",$2.99,https://sfbay.craigslist.org/eby/apa/d/oakland-refreshed-4plex-new-appliances/7920135633.html,2,2,2,2,2,2,3,71.4,,,,2,66.7,,,,No,Yes,No,,,No,Yes,Yes,,50.0,80,55,59,68.3,49.8,D,50.0,$48.13,Feature-completeness gap,,
